user,vote,star,date,comments
Elsie,0,5,2018-01-31,21世纪的两大发展方向预测 长生不死 智人到智神
高级而有趣,0,5,2018-01-31,我要把这本书留到2050年，到时候再拿出来看。🌚历史早已证明预言往往是靠不住的。但是无远弗届的思考与脚踏实地的生活并不冲突，读后也深受启发。
陈潇,0,4,2018-01-31,从新认识未来
水调、,0,4,2018-01-31,这本书让我明白，社会瞬息万变，我们习以为常的东西也许并不如想象中那么稳定，想要在不确定的环境中占有立足之地只有坚持不断学习
mosasa,0,5,2018-01-31,刷新了世界观
DiDi,0,0,2018-01-30,前面有很多和人类简史重复的地方，第三部分才是重点。未来有无限可能，我喜欢从设计者降级成芯片，再降成数据，最后在数据的洪流中溶解分散。
一瓣豆豆,0,5,2018-01-30,犹豫着要不要成为神人 怕失去一些简单的快乐 不过可以肯定的是，增加体验总没错
Toraemon,0,5,2018-01-30,從歷史出發，立足當下，遠眺未來，視野開闊，觀點獨到。歷史的慣性從來都不小，人文主義過渡到科技人文主義或數據主義不容易。人工智能、生物科技必將導致「無用階級」革命。或許不久將來該書的問世會被史書視作新時代降臨前的一個重要時間節點。
蛋蛋,0,5,2018-01-30,很开脑洞，读完希望未来晚点来的书
及时加油,0,5,2018-01-30,改变了我的人生观
高瘦黑,0,3,2018-01-29,看了一部分，感觉都是普通的观点。
华小隐,0,4,2018-01-29,基本还是沿着《人类简史》的思维，核心是探讨科学与人文的对立，不乏高屋建瓴的洞见，但内容水分也太多。
巨米雨,0,4,2018-01-29,逻辑清晰条理分明，有意思的是前半部分，还是人类简史里的东西，但是又从信仰的角度重新梳理了一遍，至于后半部分其实大概就是看黑镜吧，而且非常的社达，不过就像作者说的点出这样的可能性也是为了让人类放开眼界。说到底人类还是要正视自己在生命意义上的普通平凡，尊重其他的物种，当科技和AI拥有意识的那一天，人类的自傲也不复存在，为了继续生存下去，给予更多的尊重和善意也是必要的，本来我们这个物种就已经很差了。
灰POI子,0,5,2018-01-29,"当时班主任采购的唯一看的爽的书
"
邸礪,0,4,2018-01-29,很有想法，为人类要走向哪里提供一种方向。
苏钵剌尼,0,3,2018-01-29,21世纪，一个算法的时代
薇乐理,0,5,2018-01-29,莫名觉得和三体是双胞胎哈哈
李晚鹿,0,5,2018-01-29,★★★★★★★★★★
CAUP小杜,0,5,2018-01-28,没有第一本惊艳，书的三分之二都是讲已知的事情，对于未来总结为科技人文主义与未来主义两个方向，可以期待一下，未来真是不可知呀。
